
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


//Marker 0
<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		-1,		1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		-1,		1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		-1,		5	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		-1,		5	// Sellvalue -1 means it can not be selled
		Camonet,				*,		600,		-1
		HescoBox,				*,		650,		-1
		CombinationLock,		*,		700,		-1
		CombinationLock4,		*,		900,		-1
		CodeLock,				*,		900,		-1
		BarrelHoles_Blue,		*,		-1,			0
		BarrelHoles_Green,		*,		-1,			0
		BarrelHoles_Red,		*,		-1,			0
		BarrelHoles_Yellow,		*,		-1,			0
		Barrel_Blue,			M,		2500,		-1
		Barrel_Green,			M,		2500,		-1
		Barrel_Red,				M,		2500,		-1
		Barrel_Yellow,			M,		2500,		-1
		SeaChest,				*,		4000,		-1
		AnniversaryBox,			*,		4000,		-1
		PowerGenerator,			*,		5000,		-1
		MediumTent,				*,		3000,		-1		
		CarTent,				*,		8000,		-1
		LargeTent,				*,		6000,		-1
		MediumTent_Green,		*,		3000,		-1
		MediumTent_Orange,		*,		3000,		-1
		PartyTent,				*,		7000,		-1
		PartyTent_Blue,			*,		7000,		-1
		PartyTent_Brown,		*,		7000,		-1
		PartyTent_Lunapark,		*,		7000,		-1
		Firewood,				1,		-1,			5
		WoodenLog,				1,		-1,			15
	
	<Category> Flags
		Flag_APA,				*,		300,	-1
		Flag_Altis,				*,		300,	-1
		Flag_BabyDeer,			*,		300,	-1
		Flag_Bear,				*,		300,	-1
		Flag_Bohemia,			*,		300,	-1
		Flag_BrainZ,			*,		300,	-1
		Flag_CDF,				*,		300,	-1
		Flag_CHEL,				*,		300,	-1
		Flag_CMC,				*,		300,	-1
		Flag_Cannibals,			*,		300,	-1
		Flag_Chedaki,			*,		300,	-1
		Flag_Chernarus,			*,		300,	-1
		Flag_DayZ,				*,		300,	-1
		Flag_HunterZ,			*,		300,	-1
		Flag_Livonia,			*,		300,	-1
		Flag_LivoniaArmy,		*,		300,	-1
		Flag_LivoniaPolice,		*,		300,	-1
		Flag_NAPA,				*,		300,	-1
		Flag_NSahrani,			*,		300,	-1
		Flag_Pirates,			*,		300,	-1
		Flag_Rooster,			*,		300,	-1
		Flag_SSahrani,			*,		300,	-1
		Flag_TEC,				*,		300,	-1
		Flag_UEC,				*,		300,	-1
		Flag_White,				*,		300,	-1
		Flag_Wolf,				*,		300,	-1
		Flag_Zenit,				*,		300,	-1
		Flag_RSTA,				*,		300,	-1
		Flag_Refuge,			*,		300,	-1
		Flag_Snake,				*,		300,	-1
		Flag_Crook,				*,		300,	-1
		Flag_Rex,				*,		300,	-1
		Flag_Zagorky,			*,		300,	-1
	
	<Category> Seeds & Lime
		TomatoSeedsPack,		*,		20, 	-1
		PepperSeedsPack,		*,		20, 	-1
		ZucchiniSeedsPack,		*,		20, 	-1
		PumpkinSeedsPack,		*,		20, 	-1
		GardenLime,				*,		100,	-1
		
	<Category> Fluffy Pets <3
		Bear_Beige,				*,		5,		-1
		Bear_Dark,				*,		5,		-1
		Bear_Pink,				*,		5,		-1
		Bear_White,				*,		5,		-1

//Marker 2
<Trader> Weapon Trader
	//<Category> Melee	
		BrassKnuckles_Shiny,	W,		-1,		-1
		StunBaton,				W,		-1,		-1
		Pipe,					W,		-1,		-1
		CattleProd,				W,		-1,		-1
		BaseballBat,			W,		-1,		-1
		NailedBaseballBat,		W,		-1,		-1
		Mace,					W,		-1,		-1
		Sword,					W,		-1,		-1
		
	//<Category> Sidearms
		Flaregun,               W,		-1,		-1
		MakarovIJ70,			W,		-1,		25
		P1,						W,		-1,		25
		Ruger1022,				W,		-1,		150
		CZ75,					W,		-1,		50
		FNX45,					W,		-1,		75
		Glock19,				W,		-1,		50
		MKII,					W,		-1,		40
		Colt1911,				W,		-1,		50
		Engraved1911,			W,		-1,		100
		Derringer_Black,		W,		-1,		25
		Derringer_Grey,			W,		-1,		25
		Derringer_Pink,			W,		-1,		25
		Deagle,					W,		-1,		150
		Deagle_Gold,			W,		-1,		250
		Magnum,					W,		-1,		125
		Longhorn,				W,		-1,		100
		
	//<Category> Rifles
		Izh18,					W,		-1,		50
		Mosin9130,				W,		-1,		250
		CZ527,					W,		-1,		300
		Winchester70,			W,		-1,		350
		Repeater,				W,		-1,		200
		SKS,					W,		-1,		350
		SSG82,					W,		-1,		200
		Scout,					W,		-1,		250
		Scout_Chernarus,		W,		-1,		250
		Scout_Livonia,			W,		-1,		250
		CZ550,					W,		-1,		300
		M14,					W,		-1,		500
		
	//<Category> Shotguns
		Izh18Shotgun,			W,		-1,		50
		Mp133Shotgun,			W,		-1,		125
		Izh43Shotgun,			W,		-1,		100
		Saiga,					W,		-1,		350
		
	//<Category> Submachine Guns
		CZ61,					W,		-1,		150
		UMP45,					W,		-1, 	150
		MP5K,					W,		-1, 	150	
		PP19,					W,		-1, 	150	
		AKS74U,					W,		-1, 	175
		
	//<Category> Assault Rifles
		FAL,					W,		-1, 	500
		AKM,					W,		-1, 	350
		AK101,					W,		-1, 	375
		AK74,					W,		-1, 	300
		M4A1,					W,		-1, 	400
		Aug,					W,		-1, 	350
		AugShort,				W,		-1, 	250
		M16A2,					W,		-1, 	300
		FAMAS,					W,		-1, 	300
		Vikhr,					W,		-1, 	275
		
	//<Category> Light Machine Guns
		
	//<Category> Sniper Rifles
		VSS,					W,		-1,		325
		ASVAL,					W,		-1,		350
		B95,					W,		-1,		275
		SVD,					W,		-1,		500
		
	<Category> Crossbows
		Crossbow_Autumn,		W,		-1,		200
		Crossbow_Black,			W,		-1,		200
		Crossbow_Summer,		W,		-1,		200
		Crossbow_Wood,			W,		-1,		200
		Ammo_HuntingBolt,		5,		15,		5
		Ammo_CupidsBolt,		5,		-1,		-1

	<Category> Launchers and Ammo
		M79,					W,		-1,		600
		Ammo_40mm_Chemgas,		1,		-1,		-1
		Ammo_40mm_Explosive,	1,		-1,		-1
		Ammo_40mm_Smoke_Black,	1,		50,		-1
		Ammo_40mm_Smoke_Green,	1,		50,		-1
		Ammo_40mm_Smoke_Red,	1,		50,		-1
		Ammo_40mm_Smoke_White,	1,		50,		-1
		FireworksLauncher,		1,		1000,	-1
		Anniversary_FireworksLauncher,		1,		-1,		-1
		
	//<Category> Explosives and Detonators
		Plastic_Explosive,		1,		-1,		-1
		ClaymoreMine,			1,		-1,		-1
		RemoteDetonator,		1,		-1,		-1
		
	//<Category> Grenades
		RGD5Grenade,			1,		-1,		-1
		M67Grenade,				1,		-1,		-1
		M18SmokeGrenade_Red,	1,		-1,		-1
		M18SmokeGrenade_Green,	1,		-1,  	-1
		M18SmokeGrenade_Yellow,	1,		-1,  	-1
		M18SmokeGrenade_Purple,	1,		-1,  	-1
		M18SmokeGrenade_White,	1,		-1,  	-1
		RDG2SmokeGrenade_Black,	1,		-1,  	-1
		RDG2SmokeGrenade_White,	1,		-1,  	-1
		FlashGrenade,			1,		-1,  	-1
		Grenade_ChemGas,		1,		-1,  	-1
		
		
//Marker 3
<Trader> Weapon Supplies
	<Category> Ammunition - .22
		Ammo_22,				1,		1,		1
		Ammo_22,				10,		10,		10
		Ammo_22,				25,		25,		25		
		
	<Category> Ammunition - 380	
		Ammo_380,				1,		1,		1
		Ammo_380,				10,		10,		10
		Ammo_380,				25,		25,		25
		
	<Category> Ammunition - 9mm
		Ammo_9x19,				1,		1,		1
		Ammo_9x19,				10,		10,		10
		Ammo_9x19,				25,		25,		25		
		
	<Category> Ammunition - .45
		Ammo_45ACP,				1,		1,		1
		Ammo_45ACP,				10,		10,		10		
		Ammo_45ACP,				25,		25,		25	
	
	<Category> Ammunition - 12GA
		Ammo_12gaPellets,		1,		1,		1
		Ammo_12gaPellets,		10,		10,		10
		Ammo_12gaPellets,		25,		25,		25	
		
	<Category> Ammunition - 12GA Slug
		Ammo_12gaSlug,			1,		1,		1
		Ammo_12gaSlug,			10,		10,		10
		Ammo_12gaSlug,			25,		25,		25		

	<Category> Ammunition - 9x39
		Ammo_9x39,				1,		5,		5
		Ammo_9x39,				10,		50,		50
		Ammo_9x39,				25,		125,	125		

	<Category> Ammunition - 9x39AP
		Ammo_9x39AP,			1,		5,		5
		Ammo_9x39AP,			10,		50,		50	
		Ammo_9x39AP,			25,		125,	125	
		
	<Category> Ammunition - 545x39
		Ammo_545x39,			1,		5,		5
		Ammo_545x39,			10,		50,		50
		Ammo_545x39,			25,		125,	125	

	<Category> Ammunition - 556x45
		Ammo_556x45,			1,		5,		5
		Ammo_556x45,			10,		50,		50
		Ammo_556x45,			25,		125,	125	
		
	<Category> Ammunition - 762x39
		Ammo_762x39,			1,		5,		5
		Ammo_762x39,			10,		50,		50
		Ammo_762x39,			25,		125,	125		
		
	<Category> Ammunition - .357
		Ammo_357,				1,		5,		5
		Ammo_357,				10,		50,		50
		Ammo_357,				25,		125,	125
		
	<Category> Ammunition - 762x54
		Ammo_762x54,			1,		10,		10
		Ammo_762x54,			10,		100,	100
		Ammo_762x54,			25,		250,	250				
		
	<Category> Ammunition - .308
		Ammo_308Win,			1,		10,		10
		Ammo_308Win,			10,		100,	100
		Ammo_308Win,			25,		250,	250

	<Category> Ammunition - Crossbow
		Ammo_HuntingBolt,		5,		-1,		5
		
	<Category> Ammo Boxes
		AmmoBox_380_35rnd,				*,		-1,		35
		AmmoBox_9x19_25rnd,				*,		-1,		25
		AmmoBox_45ACP_25rnd,			*,		-1,		25
		AmmoBox_22_50Rnd,				*,		-1,		50
		AmmoBox_00buck_10rnd,			*,		-1,		10
		AmmoBox_12gaSlug_10Rnd,			*,		-1,		10
		AmmoBox_9x39_20Rnd,				*,		-1,		100
		AmmoBox_9x39AP_20Rnd,			*,		-1,		100
		AmmoBox_308Win_20Rnd,			*,		-1,		200
		AmmoBox_545x39_20Rnd,			*,		-1,		100
		AmmoBox_556x45_20Rnd,			*,		-1,		100
		AmmoBox_762x39_20Rnd,			*,		-1,		100
		AmmoBox_762x54_20Rnd,			*,		-1,		200		
		AmmoBox_357_20Rnd,				*,		-1,		100
		AmmoBox_308WinTracer_20Rnd,		*,		-1,		200
		AmmoBox_545x39Tracer_20Rnd,		*,		-1, 	100
		AmmoBox_556x45Tracer_20Rnd,		*,		-1,		100
		AmmoBox_762x39Tracer_20Rnd,		*,		-1,		100
		AmmoBox_762x54Tracer_20Rnd,		*,		-1,		200
	
	<Category> Ammo
		SNAFU_Ammo_762x25,				1,		1,		1
		SNAFU_Ammo_46x30,				1,		1,		1
		SNAFU_Ammo_300ACC,				1,		5,		5
		SNAFU_MD_Ammo_556x45mm_M855A1,	1,		5,		5
		//SNAFU_Ammo_500_SW,				1,		-1,		-1
		//SNAFU_Ammo_44,					1,		-1,		-1
		SNAFU_Ammo_5_7x28mm,			1,		5,		5
		Ammo_308Win,					1,		10,		10		
		Ammo_308WinTracer,				1,		10,		10
		Ammo_762x54,					1,		10,		10		
		Ammo_762x54Tracer,				1,		10,		10
		GCGN_Ammo_762x51,				1,		10,		10
		GCGN_Ammo_3006,					1,		10,		10
		SNAFU_Ammo_338,					1,		10,		10
		SNAFU_Ammo_45_70mm,				1,		10,		10
		jmc_SnowOwl_Ammo,				1,		50,		50
		GCGN_Ammo_408Chey,				1,		50,		50
		GCGN_Ammo_50Cal,				1,		50,		50
		SNAFU_Ammo_127x55mm,			1,		50,		50
		SNAFU_Ammo_127x55mmAP,			1,		50,		50
		SNAFU_Ammo_145Cal,				1,		50,		50
		
	<Category> Magazines
		Mag_IJ70_8Rnd,			M,		-1,		-1
		Mag_P1_8Rnd,			M,		-1,		-1
		Mag_Ruger1022_15Rnd,	M,		-1,		-1
		Mag_Ruger1022_30Rnd,	M,		-1,		-1
		Mag_CZ75_15Rnd,			M,		-1,		-1
		Mag_Glock_15Rnd,		M,		-1,		-1
		Mag_MKII_10Rnd,			M,		-1,		-1
		Mag_1911_7Rnd,			M,		-1,		-1
		Mag_Deagle_9rnd,		M,		-1,		-1
		Mag_FNX45_15Rnd,		M,		-1,		-1
		Mag_CZ527_5rnd,			M,		-1,		-1
		Mag_CZ61_20Rnd,			M,		-1,		-1
		Mag_UMP_25Rnd,			M,		-1,		-1
		Mag_MP5_30Rnd,			M,		-1,		-1
		Mag_PP19_64Rnd,			M,		-1,		-1
		Mag_FAL_20Rnd,			M,		-1,		-1
		Mag_FAMAS_25Rnd,		M,		-1,		-1
		Mag_Aug_30Rnd,			M,		-1,		-1
		Mag_Saiga_5Rnd,			M,		-1,		-1
		Mag_Saiga_8Rnd,			M,		-1,		-1
		Mag_Saiga_Drum20Rnd,	M,		-1,		-1
		Mag_AKM_30Rnd,			M,		-1,		-1
		Mag_AKM_Palm30Rnd,		M,		-1,		-1
		Mag_AKM_Drum75Rnd,		M,		-1,		-1
		Mag_AK101_30Rnd,		M,		-1,		-1
		Mag_AK74_30Rnd,			M,		-1,		-1
		Mag_AK74_45Rnd,			M,		-1, 	-1
		Mag_M14_10Rnd,			M,		-1,		-1
		Mag_M14_20Rnd,			M,		-1,		-1
		Mag_STANAG_30Rnd,		M,		-1,		-1
		Mag_STANAGCoupled_30Rnd,M,		-1,		-1
		Mag_STANAG_60Rnd,		M,		-1,		-1
		Mag_CMAG_10Rnd,			M,		-1,		-1
		Mag_CMAG_20Rnd,			M,		-1,		-1
		Mag_CMAG_30Rnd,			M,		-1,		-1
		Mag_CMAG_40Rnd,			M,		-1,		-1
		Mag_VSS_10Rnd,			M,		-1,		-1
		Mag_VAL_20Rnd,			M,		-1,		-1
		Mag_SVD_10Rnd,			M,		-1,		-1
		Mag_Scout_5Rnd,			M,		-1,		-1
		Mag_CZ550_10Rnd,		M,		-1,		-1
		Mag_308WinSnaploader_2Rnd,		M,		-1,		-1
		Mag_Vikhr_30Rnd,		M,		-1,		-1
		
	<Category> Handguards
		MP5_PlasticHndgrd,		*,		100,	-1
		MP5_RailHndgrd,			*,		150,	-1
		AK74_Hndgrd,			*,		150,	-1
		AK_WoodHndgrd,			*,		200,	-1
		AK_RailHndgrd,			*,		200,	-1
		AK_PlasticHndgrd,		*,		200,	-1
		M4_PlasticHndgrd,		*,		150,	-1
		M4_RISHndgrd,			*,		200,	-1
		M4_MPHndgrd,			*,		200,	-1

	<Category> Buttstocks
		MP5k_StockBttstck,		*,		100,	-1
		PP19_Bttstck,			*,		100,	-1
		Fal_OeBttstck,			*,		100,	-1
		Fal_FoldingBttstck,		*,		150,	-1
		Saiga_Bttstck,			*,		150,	-1
		AKS74U_Bttstck,			*,		150,	-1
